Train Epoch: 231 	Loss: 252414.968750 	Time: 17:29:39
Train Epoch: 232 	Loss: 329503.312500 	Time: 17:30:36
Train Epoch: 233 	Loss: 422823.750000 	Time: 17:31:33
Train Epoch: 234 	Loss: 360241.593750 	Time: 17:32:30
Train Epoch: 235 	Loss: 530255.875000 	Time: 17:33:27
Train Epoch: 236 	Loss: 448443.156250 	Time: 17:34:23
Train Epoch: 237 	Loss: 415450.375000 	Time: 17:35:20
Train Epoch: 238 	Loss: 416109.406250 	Time: 17:36:16
Train Epoch: 239 	Loss: 445568.156250 	Time: 17:37:13
Train Epoch: 240 	Loss: 386088.750000 	Time: 17:38:10
Train Epoch: 241 	Loss: 337612.781250 	Time: 17:39:07
Train Epoch: 242 	Loss: 440311.218750 	Time: 17:40:04
Train Epoch: 243 	Loss: 435654.093750 	Time: 17:41:01
Train Epoch: 244 	Loss: 522624.093750 	Time: 17:41:57
Train Epoch: 245 	Loss: 554219.187500 	Time: 17:42:54
Train Epoch: 246 	Loss: 583832.000000 	Time: 17:43:52
Train Epoch: 247 	Loss: 651437.125000 	Time: 17:44:47
Train Epoch: 248 	Loss: 568992.125000 	Time: 17:45:44
Train Epoch: 249 	Loss: 535349.062500 	Time: 17:46:40
Train Epoch: 250 	Loss: 535956.812500 	Time: 17:47:36
Train Epoch: 251 	Loss: 565314.000000 	Time: 17:48:31
Train Epoch: 252 	Loss: 453980.281250 	Time: 17:49:27
Train Epoch: 253 	Loss: 419276.937500 	Time: 17:50:22
Train Epoch: 254 	Loss: 290313.218750 	Time: 17:51:18
Train Epoch: 255 	Loss: 274848.562500 	Time: 17:52:14
Train Epoch: 256 	Loss: 295399.343750 	Time: 17:53:08
Train Epoch: 257 	Loss: 263045.250000 	Time: 17:54:03
Train Epoch: 258 	Loss: 165215.906250 	Time: 17:54:58
Train Epoch: 259 	Loss: 189081.046875 	Time: 17:55:54
Train Epoch: 260 	Loss: 154893.953125 	Time: 17:56:49
Train Epoch: 261 	Loss: 218012.156250 	Time: 17:57:44
